DO,pH,ORP,Cond,Temp,WQI,Status
8.63052641,8.879727,0.08482218,0.04469828,22.650238,20.50452959,Fair
8.644232787,8.866815,0.08629203,0.044651296,22.567017,20.35919708,Fair
13.501176,12.359906,0.14290023,46.19519,18.400787,42.01432799,Very Poor
9.458531041,12.825684,0.14623594,52.60968,18.013641,47.74543444,Very Poor
12.409351,12.998978,0.14672422,52.399826,18.18457,46.92559347,Very Poor
13.330035,13.105331,0.14353323,41.708813,18.367126,47.72259341,Very Poor
10.858296,13.1836815,0.14233637,52.92656,18.268341,48.31563432,Very Poor
11.62481,13.263382,0.14168048,53.68222,18.302948,48.92207343,Very Poor
13.488875,13.269672,0.14186788,53.700462,18.293518,48.97121512,Very Poor
15.40315,13.209754,0.14616036,53.097546,17.835968,48.53565442,Very Poor
10.023188,13.133904,0.14445615,53.162533,18.049866,47.94604003,Very Poor
10.440537,13.114431,0.14302349,53.92621,17.987213,47.78933701,Very Poor
9.573098,12.938559,0.14299321,53.307175,17.969666,48.13727116,Very Poor
12.113423,12.993829,0.14477754,53.593697,17.880493,46.87575921,Very Poor
13.279036,12.914619,0.14622903,53.43051,17.700531,46.27733607,Very Poor
12.543279,13.078457,0.14588857,54.026882,17.687866,47.52937443,Very Poor
11.439044,13.2358055,0.1455555,53.17147,17.812592,48.73178783,Very Poor
11.42445,13.178658,0.14509082,53.578583,17.936218,48.29194515,Very Poor
10.317891,13.206802,0.14493966,54.04696,18.070679,48.50652312,Very Poor
12.429812,13.21106,0.14636731,54.67651,18.19461,48.54675798,Very Poor
10.833905,13.284638,0.14500499,54.64573,18.336792,49.10255678,Very Poor
9.240278,13.285149,0.14439487,54.435387,18.23935,52.11796883,Very Poor
8.781806,13.27149,0.1441381,54.571686,18.4487,53.83139345,Very Poor
8.61214,13.328059,0.14372396,54.098644,18.232513,54.93537864,Very Poor
8.463595,13.294773,0.14371037,54.124638,18.166382,55.27003033,Very Poor
8.397623,13.178123,0.14409757,53.2876,17.944427,54.64116867,Very Poor
8.649648,13.267667,0.14393306,53.866,18.100433,54.32547388,Very Poor
8.854265,13.283108,0.14458823,53.837887,18.10495,53.63518241,Very Poor
11.489798,13.401436,0.14849567,32.44127,17.743317,50.01547596,Very Poor
11.905468,13.531551,0.1429019,37.39602,17.813202,50.98118669,Very Poor
11.313437,13.37858,0.14556694,35.65658,17.759064,49.82480262,Very Poor
11.965154,13.395597,0.15215278,39.277676,17.830688,49.99024245,Very Poor
11.643575,13.416529,0.14917397,37.835117,17.811432,50.13450774,Very Poor
11.299849,13.639261,0.14749885,32.89283,17.739899,51.83021596,Very Poor
14.781393,13.894611,0.13861299,20.237562,17.697205,53.73707953,Very Poor
14.287061,12.63807045,0.14313555,26.350214,17.750732,44.14480152,Very Poor
14.14928,13.18632717,0.1396892,21.13367,17.800385,48.32228724,Very Poor
14.148649,13.40430349,0.13789749,16.679514,17.84726,49.98096542,Very Poor
10.244805,13.76264501,0.13634682,16.630272,17.85553,52.71506884,Very Poor
7.554737306,10.190378,0.09468126,1.019826,30.001099,34.8569015,Poor
7.574646796,9.971962,0.09122872,1.0191547,29.848816,33.08777033,Poor
7.588796433,9.943674,0.09027004,1.0192819,29.740997,32.8099954,Poor
7.602221957,9.965534,0.08962989,1.0191522,29.639008,32.92058605,Poor
7.616559408,9.94664,0.08918643,1.0190215,29.530426,32.71671879,Poor
7.626450427,9.950156,0.08894205,1.0191219,29.455719,32.7030677,Poor
7.638512123,9.905296,0.088667154,1.0198563,29.364838,32.31041483,Poor
7.646927417,9.908247,0.08847237,1.019116,29.301575,32.29856152,Poor
7.657202947,9.930272,0.08817434,1.0195948,29.224487,32.42474768,Poor
7.664408856,9.899245,0.08814955,1.0199207,29.170532,32.15856846,Poor
7.672590526,9.886263,0.088024855,1.0198727,29.109375,32.02608147,Poor
7.68274435,9.915287,0.08775425,1.0197383,29.03363,32.2064613,Poor
7.691898878,9.896666,0.08764815,1.0200564,28.965485,32.02705775,Poor
7.701343473,9.8844795,0.08754778,1.0200423,28.895325,31.89577747,Poor
7.706692786,9.872162,0.087551355,1.0199347,28.855652,31.78030261,Poor
7.715211207,9.8638115,0.08748841,1.0198226,28.792572,31.68225526,Poor
7.725477652,9.859159,0.08743477,1.019513,28.716705,31.60562219,Poor
7.7334309,9.843221,0.087299585,1.0200363,28.65805,31.45136297,Poor
7.743568413,9.83905,0.0871582,1.020531,28.583435,31.3784564,Poor
7.726689095,12.911996,0.11682081,1.0680003,28.707764,55.12178757,Very Poor
7.751012827,12.71717,0.117978334,1.05784,28.528748,53.54045075,Very Poor
7.634474523,13.28701217,0.11809254,392.5021,29.395233,58.3635585,Very Poor
7.659924097,12.78541827,0.08269501,392.06528,29.204102,54.23420964,Very Poor
7.654137358,13.24775164,0.02918291,392.6326,29.247467,57.50876651,Very Poor
7.649825442,12.84716991,0.060414314,392.4453,29.279816,54.6275119,Very Poor
7.465528178,12.563946,0.08377504,1.1255215,30.691772,53.36687266,Very Poor
7.652509759,13.28516958,0.090645075,392.3197,29.259674,58.13084859,Very Poor
7.653213554,12.94645237,0.08642793,391.11993,29.254395,55.51324042,Very Poor
7.65229407,13.24539997,0.09110594,392.8309,29.261292,57.82981416,Very Poor
7.650179315,13.68761702,0.094830275,392.82797,29.27716,61.24247202,Very Poor
7.64742727,12.6878192,0.088912964,392.24026,29.297821,53.57017903,Very Poor
7.651594551,13.45863827,0.10993171,393.77484,29.26654,59.56536818,Very Poor
7.648646509,13.58696683,0.08050394,393.48434,29.288666,60.4015243,Very Poor
7.650659006,13.526161,0.059726477,393.23715,29.27356,59.81687962,Very Poor
7.64749638,13.971594,0.07516384,393.84207,29.297302,63.32105591,Very Poor
7.649630397,13.9546585,0.0806849,394.19125,29.28128,63.21255628,Very Poor
7.648386386,13.905687,0.08427453,394.34155,29.290619,62.8619411,Very Poor
7.601485861,10.507434,0.118864775,1.0993212,29.644592,37.22731477,Poor
7.621417409,8.49603,0.12202954,1.0793903,29.493713,14.1490993,Good
7.616769165,8.767695,0.13266301,1.0746716,29.52884,23.92625728,Fair
7.608168249,9.131993,0.13157797,1.0724832,29.593933,26.74257012,Fair
7.602020916,9.456921,0.12796426,1.0689642,29.640533,29.23429909,Fair
7.599555498,9.727162,0.12501287,1.0721376,29.65924,31.29644233,Poor
7.59777452,9.99227,0.121929646,1.1046059,29.67276,33.31587953,Poor
7.594584349,10.070662,0.12076378,1.0931805,29.696991,33.92223223,Poor
7.588006146,10.242219,0.11845708,1.089722,29.74701,35.24891519,Poor
7.584662792,10.347598,0.11733055,1.0846009,29.77246,36.06261952,Poor
7.58397735,10.231329,0.115049124,1.0692204,29.77768,35.16330415,Poor
7.585520399,10.44668,0.11360192,1.0669888,29.76593,36.79752249,Poor
7.587757641,10.517631,0.111867666,1.0646895,29.748901,37.32234629,Poor
7.794224841,10.06129,0.13721108,1.6203594,28.213074,33.14638339,Poor
7.804583243,10.035237,0.13531804,1.5869148,28.137848,32.89575281,Poor
7.802976426,10.0226145,0.1342578,1.5580726,28.149506,32.79984903,Poor
7.803598935,10.019047,0.13304377,1.5367266,28.144989,32.76357316,Poor
7.803729319,10.018088,0.1322484,1.5100113,28.144043,32.75145612,Poor
7.802778818,10.015805,0.13170624,1.4870447,28.15094,32.73485204,Poor
7.807752227,10.02177,0.13085866,1.4643685,28.114868,32.75622665,Poor
7.806556773,10.016931,0.13042927,1.4427055,28.123535,32.72163749,Poor
7.807541721,9.99741,0.12797165,1.4234146,28.116394,32.55516813,Poor
7.807230255,10.007251,0.12798452,1.4157493,28.118652,32.63178699,Poor
7.8084848,10.008458,0.12781549,1.4221138,28.109558,32.63514023,Poor
7.810539943,10.012857,0.12556124,1.426595,28.094666,32.64857429,Poor
7.812376998,10.011651,0.1255908,1.4181383,28.08136,32.63221333,Poor
7.812709945,10.001201,0.12622786,1.4143119,28.078949,32.55433052,Poor
7.81230961,10.007475,0.12615037,1.4050076,28.081848,32.60351952,Poor
7.815842441,10.003313,0.12617588,1.4012649,28.056274,32.55778504,Poor
7.817981097,10.000698,0.12605882,1.3985434,28.040802,32.52865851,Poor
7.820369749,9.986585,0.12614441,1.3949618,28.02353,32.41163067,Poor
7.819145671,9.995217,0.12612009,1.3878037,28.03238,32.4824192,Poor
7.819652275,9.99489,0.12622452,1.386675,28.028717,32.47846579,Poor
7.82069913,9.992112,0.12632298,1.3835958,28.021149,32.45357892,Poor
7.823807499,9.996147,0.12651229,1.3789175,27.998688,32.47313848,Poor
7.82417091,9.994106,0.12684178,1.4036902,27.996063,32.4578411,Poor
7.82215597,9.990009,0.12706232,1.4004271,28.01062,32.43566383,Poor
7.824880788,9.991527,0.12710333,1.3945444,27.990936,32.43668823,Poor
